,level,page_num,block_num,par_num,line_num,word_num,left,top,width,height,conf,text
0,1,1,0,0,0,0,0,0,850,870,-1,
1,2,1,1,0,0,0,136,7,634,32,-1,
2,3,1,1,1,0,0,136,7,634,32,-1,
3,4,1,1,1,1,0,136,7,634,32,-1,
4,5,1,1,1,1,1,715,11,55,22,89,خانه‌ی
5,5,1,1,1,1,2,625,12,81,22,72,همسایه‌ها
6,5,1,1,1,1,3,555,11,60,26,88,می‌کرد.
7,5,1,1,1,1,4,509,7,38,22,88,آن‌ها
8,5,1,1,1,1,5,452,17,49,19,89,پسری
9,5,1,1,1,1,6,380,12,62,16,91,داشتند
10,5,1,1,1,1,7,351,18,19,16,92,به
11,5,1,1,1,1,8,316,11,26,28,92,نام
12,5,1,1,1,1,9,254,10,53,27,90,دادلی
13,5,1,1,1,1,10,222,6,33,37,91,که
14,5,1,1,1,1,11,200,18,19,16,92,به
15,5,1,1,1,1,12,136,13,55,21,72,عقیده
16,2,1,2,0,0,0,136,112,452,20,-1,
17,3,1,2,1,0,0,136,112,452,20,-1,
18,4,1,2,1,1,0,136,112,452,20,-1,
19,5,1,2,1,1,1,136,112,12,15,92,1.
20,5,1,2,1,1,2,158,112,70,20,96,Dursley
21,5,1,2,1,1,3,453,112,14,15,93,2.
22,5,1,2,1,1,4,477,112,52,15,93,Privet
23,5,1,2,1,1,5,538,112,50,15,96,Drive
24,2,1,3,0,0,0,134,155,121,20,-1,
25,3,1,3,1,0,0,134,155,121,20,-1,
26,4,1,3,1,1,0,134,155,121,20,-1,
27,5,1,3,1,1,1,134,155,14,15,93,3.
28,5,1,3,1,1,2,159,155,96,20,92,Grunnings
29,2,1,4,0,0,0,112,398,636,38,-1,
30,3,1,4,1,0,0,112,398,636,38,-1,
31,4,1,4,1,1,0,112,398,636,38,-1,
32,5,1,4,1,1,1,736,409,12,16,95,۸
33,5,1,4,1,1,2,274,398,38,38,84,هری
34,5,1,4,1,1,3,226,398,39,38,89,پاتر
35,5,1,4,1,1,4,217,415,8,14,89,و
36,5,1,4,1,1,5,162,398,49,38,90,سنگ
37,5,1,4,1,1,6,112,398,47,38,91,جادو
38,2,1,5,0,0,0,108,494,642,334,-1,
39,3,1,5,1,0,0,559,494,190,27,-1,
40,4,1,5,1,1,0,559,494,190,27,-1,
41,5,1,5,1,1,1,675,494,74,27,91,خودشان
42,5,1,5,1,1,2,627,490,47,35,92,لنگه
43,5,1,5,1,1,3,559,494,190,27,92,نداشت.
44,3,1,5,2,0,0,113,531,637,297,-1,
45,4,1,5,2,1,0,114,531,605,34,-1,
46,5,1,5,2,1,1,671,526,48,43,90,آن‌ها
47,5,1,5,2,1,2,585,526,84,43,88,خانواده‌ی
48,5,1,5,2,1,3,523,526,59,43,88,مرفهی
49,5,1,5,2,1,4,467,526,53,43,91,بودند
50,5,1,5,2,1,5,456,545,9,13,91,و
51,5,1,5,2,1,6,410,526,36,43,90,هیچ
52,5,1,5,2,1,7,384,526,25,43,92,کم
53,5,1,5,2,1,8,369,545,9,12,96,و
54,5,1,5,2,1,9,303,526,57,43,86,کسری
55,5,1,5,2,1,10,212,526,81,43,91,نداشتند
56,5,1,5,2,1,11,171,526,36,43,91,اما
57,5,1,5,2,1,12,144,526,28,43,26,در
58,5,1,5,2,1,13,104,526,41,43,26,این
59,4,1,5,2,2,0,113,569,636,30,-1,
60,5,1,5,2,2,1,687,574,62,23,92,خانواده
61,5,1,5,2,2,2,638,574,39,22,90,رازی
62,5,1,5,2,2,3,582,565,46,38,91,وجود
63,5,1,5,2,2,4,522,565,51,38,90,داشت
64,5,1,5,2,2,5,494,565,29,38,93,که
65,5,1,5,2,2,6,439,565,53,38,82,نباید
66,5,1,5,2,2,7,389,565,48,38,88,برملا
67,5,1,5,2,2,8,328,565,57,38,92,می‌شد.
68,5,1,5,2,2,9,268,565,51,38,91,آن‌ها
69,5,1,5,2,2,10,206,565,63,38,65,هميشه
70,5,1,5,2,2,11,181,581,20,16,93,در
71,5,1,5,2,2,12,132,565,39,38,91,هول
72,5,1,5,2,2,13,113,583,10,13,92,و
73,4,1,5,2,3,0,115,611,634,27,-1,
74,5,1,5,2,3,1,701,607,48,35,96,هراس
75,5,1,5,2,3,2,644,607,56,35,93,بودند
76,5,1,5,2,3,3,618,607,25,35,91,که
77,5,1,5,2,3,4,566,607,49,35,90,مبادا
78,5,1,5,2,3,5,524,607,36,35,90,روزی
79,5,1,5,2,3,6,478,607,40,35,90,کسی
80,5,1,5,2,3,7,455,607,24,35,91,به
81,5,1,5,2,3,8,390,607,57,35,92,رازشان
82,5,1,5,2,3,9,358,607,25,35,87,پی
83,5,1,5,2,3,10,317,607,42,35,91,ببرد.
84,5,1,5,2,3,11,266,607,38,35,85,حتی
85,5,1,5,2,3,12,218,607,49,35,92,تصور
86,5,1,5,2,3,13,181,607,31,35,37,این
87,5,1,5,2,3,14,154,607,27,35,89,که
88,5,1,5,2,3,15,104,607,49,35,89,کسی
89,4,1,5,2,4,0,113,645,637,34,-1,
90,5,1,5,2,4,1,727,637,26,46,92,از
91,5,1,5,2,4,2,643,645,107,29,76,خانواده‌ی
92,5,1,5,2,4,3,603,637,37,46,80,پاتر!
93,5,1,5,2,4,4,546,637,46,46,89,چیزی
94,5,1,5,2,4,5,488,637,49,46,93,بداند
95,5,1,5,2,4,6,419,637,68,46,75,برایشان
96,5,1,5,2,4,7,347,637,70,46,89,غیرقابل
97,5,1,5,2,4,8,298,637,47,46,92,تحمل
98,5,1,5,2,4,9,259,637,31,46,93,بود.
99,5,1,5,2,4,10,206,637,44,46,92,خانم
100,5,1,5,2,4,11,163,637,42,46,92,پاتر
101,5,1,5,2,4,12,100,637,64,46,93,خواهر
102,4,1,5,2,5,0,108,680,641,41,-1,
103,5,1,5,2,5,1,704,681,45,40,90,خانم
104,5,1,5,2,5,2,629,687,120,30,90,دورسلی
105,5,1,5,2,5,3,595,681,34,40,91,بود
106,5,1,5,2,5,4,559,681,28,40,92,اما
107,5,1,5,2,5,5,496,680,62,36,90,سال‌ها
108,5,1,5,2,5,6,463,680,33,36,89,بود
109,5,1,5,2,5,7,436,680,27,36,89,که
110,5,1,5,2,5,8,368,680,66,36,87,یکدیگر
111,5,1,5,2,5,9,343,680,18,36,92,را
112,5,1,5,2,5,10,294,681,46,40,76,ندیده
113,5,1,5,2,5,11,235,681,50,40,91,بودند.
114,5,1,5,2,5,12,205,695,19,16,92,در
115,5,1,5,2,5,13,158,681,40,40,90,واقع
116,5,1,5,2,5,14,108,681,46,40,89,خانم
117,4,1,5,2,6,0,113,725,636,27,-1,
118,5,1,5,2,6,1,667,725,82,27,91,دورسلی
119,5,1,5,2,6,2,591,727,66,23,91,وانمود
120,5,1,5,2,6,3,513,726,69,26,86,می‌کرد
121,5,1,5,2,6,4,480,721,34,41,88,که
122,5,1,5,2,6,5,396,726,186,26,90,خواهری
123,5,1,5,2,6,6,337,726,49,23,92,ندارد
124,5,1,5,2,6,7,293,727,36,24,80,زیرا
125,5,1,5,2,6,8,216,727,65,24,91,خواهر
126,5,1,5,2,6,9,188,721,29,41,92,او
127,5,1,5,2,6,10,167,721,22,41,95,و
128,5,1,5,2,6,11,113,727,171,24,91,شوهر
129,4,1,5,2,7,0,113,764,636,26,-1,
130,5,1,5,2,7,1,657,764,92,26,86,بی‌مصرفش
131,5,1,5,2,7,2,593,760,60,34,87,ذره‌ای
132,5,1,5,2,7,3,568,760,26,34,93,به
133,5,1,5,2,7,4,488,764,261,26,90,خانواده‌ی
134,5,1,5,2,7,5,432,760,54,34,90,آن‌ها
135,5,1,5,2,7,6,374,760,58,34,90,شباهت
136,5,1,5,2,7,7,285,760,88,34,91,نداشتند.
137,5,1,5,2,7,8,189,764,289,26,91,دورسلی‌ها
138,5,1,5,2,7,9,134,760,54,34,69,هميشه
139,5,1,5,2,7,10,113,766,14,22,91,از
140,4,1,5,2,8,0,113,798,637,30,-1,
141,5,1,5,2,8,1,725,803,25,23,67,این
142,5,1,5,2,8,2,660,794,55,38,93,واهمه
143,5,1,5,2,8,3,593,794,65,38,92,داشتند
144,5,1,5,2,8,4,565,794,29,38,89,که
145,5,1,5,2,8,5,519,794,46,38,91,روزی
146,5,1,5,2,8,6,422,794,87,38,90,خانواده‌ی
147,5,1,5,2,8,7,370,794,44,38,91,پاتر
148,5,1,5,2,8,8,351,809,17,16,93,در
149,5,1,5,2,8,9,315,794,29,38,89,آن
150,5,1,5,2,8,10,257,794,57,38,90,حوالی
151,5,1,5,2,8,11,185,794,63,38,90,آفتابی
152,5,1,5,2,8,12,125,794,58,38,92,شوند
153,5,1,5,2,8,13,113,812,10,13,93,و
154,2,1,6,0,0,0,103,832,646,38,-1,
155,3,1,6,1,0,0,103,832,646,38,-1,
156,4,1,6,1,1,0,103,832,646,38,-1,
157,5,1,6,1,1,1,669,841,80,24,91,سرزبان‌ها
158,5,1,6,1,1,2,555,832,44,38,92,آن‌ها
159,5,1,6,1,1,3,521,832,31,38,64,این
160,5,1,6,1,1,4,507,841,11,22,94,را
161,5,1,6,1,1,5,467,832,29,38,89,نیز
162,5,1,6,1,1,6,369,832,96,38,91,می‌دانستند
163,5,1,6,1,1,7,346,832,22,38,89,که
164,5,1,6,1,1,8,282,832,60,38,92,خواهر
165,5,1,6,1,1,9,229,832,49,38,92,خانم
166,5,1,6,1,1,10,146,832,84,38,90,دورسلی
167,5,1,6,1,1,11,103,832,42,38,85,یک
168,2,1,7,0,0,0,604,840,60,30,-1,
169,3,1,7,1,0,0,604,840,60,30,-1,
170,4,1,7,1,1,0,604,840,60,30,-1,
171,5,1,7,1,1,1,604,840,60,30,95, 
172,2,1,8,0,0,0,0,83,0,2,-1,
173,3,1,8,1,0,0,0,83,0,2,-1,
174,4,1,8,1,1,0,0,83,0,2,-1,
175,5,1,8,1,1,1,0,83,0,2,95, 
176,2,1,9,0,0,0,0,440,0,2,-1,
177,3,1,9,1,0,0,0,440,0,2,-1,
178,4,1,9,1,1,0,0,440,0,2,-1,
179,5,1,9,1,1,1,0,440,0,2,95,
